scenario_idx,effective_snr,overlap,sir,isi_spread,mem_len,mae_raw,mae_log10,p95_raw,bias_raw,region_acc
55,13880.222943221706,0.0,0.8484070733228821,0.0044736121923493926,7,0.005258860838766953,0.013222734223724998,0.015567185364985909,0.0030555379565091745,0.93
56,728.4990279206233,3.3441008920781707e-81,0.4219548544386501,0.022057219384754165,11,0.005667161385887462,0.008166483185806038,0.017459273428423114,0.001494585736726154,0.91
57,80.55175594340086,2.2051495609451367e-10,0.8004239277429963,0.05950536985373101,7,0.005762668547233575,0.025207706232866393,0.009360716574173825,-0.0002582490962411919,0.955
58,10727.425252655596,0.0,0.5836434024109791,0.005479109239745258,9,0.007737827948026913,0.013487850880026584,0.02186207326166953,0.0059000828887465296,0.93
59,1430.347249088309,1.5002021948201676e-157,0.4436846806944001,0.015637156618990355,11,0.00600582822720324,0.008333496092892589,0.019561687064497745,0.0031308291028974756,0.925
60,15534.881858595316,0.0,0.7462167670969589,0.004353701501798655,8,0.006051651886200315,0.01455458047222766,0.017874265222785676,0.003776346710198122,0.935
61,42.064931621929674,4.515663951873825e-06,0.4244704142777497,0.09176226835271785,11,0.008616813732074511,0.020581377881341033,0.01901219068782098,-0.0027293868199906074,0.895
62,161.2657136433888,2.7180232508922583e-19,0.3659890305527354,0.047804477371486416,12,0.007419929821804253,0.011939768770786311,0.024479897835258484,-0.0027736122788119023,0.825
63,11813.25501705506,0.0,0.4532346073548353,0.005423470783817298,11,0.009934786872423622,0.013790034333862933,0.03401062129371548,0.004989562617214139,0.945
64,6897.113894863535,0.0,0.44520104545736466,0.007123010670733994,11,0.007726837005925674,0.010612004770286818,0.02582943700436509,0.005414681131346093,0.95
65,98.96991872932429,1.998984182779027e-12,0.3898388264419771,0.060516740282054386,12,0.006796339920067991,0.010265389393913598,0.019974836515672095,-0.0025221250204360435,0.81
66,145.37437585746608,1.519171298145947e-17,1.058622308531723,0.041728115651272095,6,0.00527174085182423,0.028421679474639073,0.0067179404775855565,-0.0005418058711885533,0.96
67,14466.598866814193,0.0,0.485310663455599,0.004856015207596378,10,0.01000290311904766,0.014193337942376904,0.033742493453747205,0.005640759233868071,0.945
68,2139.453282727233,1.2551911514127348e-234,0.37183243745922534,0.013085860912968907,12,0.008527761344081248,0.012546519846907857,0.024222390802641,0.0007521060677117146,0.865
69,14.398546137441354,0.00729331179525792,0.2654951893722859,0.16592182651434378,14,0.017388786805137713,0.030190120672451033,0.05676067755907355,-0.012047826968875115,0.75
70,1030.576928072246,4.4834034759555735e-114,0.8007527433074689,0.01664186238460219,7,0.004891622373799373,0.011034042637543075,0.007703860966502425,0.00016185427312471847,0.945
71,866.7780547110875,2.9735358803331343e-96,0.4091311844977726,0.020309922226673018,11,0.006511245245580503,0.009657448280124577,0.018139519049949118,0.001017610298663091,0.87
72,1246.2794428947414,1.5519650348016955e-137,0.31692580035429585,0.017511078958538078,13,0.009718768770833058,0.01416931143235547,0.03497584907180904,-0.0007735483358848079,0.885
73,4023.7923478347298,0.0,0.29453534263177295,0.009816501349246276,14,0.008447426828064679,0.010254170399045935,0.02539848112370309,0.0017472713507927355,0.77
74,59.0679696785444,5.494478064558406e-08,0.4440390890841799,0.07700592669487394,11,0.007857691807177223,0.01816619208663676,0.01613947846193613,-0.002083385154900248,0.905
75,702.605790598422,2.2050436015548036e-78,0.2325499198218528,0.024049066885592257,14,0.012979036043998207,0.01718357306398643,0.049214944601898306,-0.0039026624743637504,0.72
76,128.00735727209718,1.2418711001061247e-15,0.32520055638329326,0.05442086986229261,13,0.00898178669826019,0.014276356258534186,0.03469484969261255,-0.004859564981416507,0.84
77,2873.8148125497487,0.0,0.2586018980223716,0.01177758300719535,14,0.010641034109698992,0.013169701423767976,0.03021641703724961,-0.0005203987588426793,0.745
78,57.117070693437384,9.090820778363995e-08,0.9769976252363294,0.06775763135175109,6,0.0055923409908374445,0.030209338864993662,0.007998963305686913,-0.0009458208083673741,0.92
79,142.76323985598856,2.9440188464660105e-17,0.26383631398918184,0.05271875140698693,14,0.012589124972560706,0.01886055354342749,0.056631962521813496,-0.007901638511255592,0.755
80,3180.341724301668,0.0,0.18471149675084209,0.011524483168921006,14,0.02225866839582218,0.026763684238865024,0.05359903613879427,-0.010200135517526625,0.625
81,18294.276800347376,0.0,0.41418473207350187,0.004418731018742076,11,0.012283835858260287,0.01678524251396234,0.04457618233050398,0.0017940415112562193,0.86
82,21.55618810177798,0.001027083854102512,0.45318277387677547,0.12699591161247847,11,0.008779825763255032,0.02782962323773651,0.016672625025701358,-0.0027220954791444796,0.91
83,12706.883248457707,0.0,0.5679830180907571,0.005046217690544076,9,0.008505259721865261,0.013753607778139356,0.026857210429321175,0.0055137997654077986,0.915
84,784.6649410897837,2.5709843423044273e-87,0.3082794273691519,0.022133029848473287,13,0.01007466834907947,0.014971628437082125,0.03919807269845769,-0.0017629569896351622,0.835
85,4449.786896245546,0.0,0.40513457847125145,0.008985704864752269,11,0.0072486296295924835,0.009721335227177141,0.02495069009571179,0.003081521764823694,0.835
86,32.26545617024511,5.9054649218276416e-05,0.5600604936232527,0.10041858038010654,9,0.0067003134284874845,0.024799063415536463,0.014208320195515954,-0.0009493316225024185,0.92
87,3430.680030546435,0.0,0.9823603788171156,0.008706666236343166,6,0.005551852689057007,0.017054290262739063,0.010796901869983529,0.0017767513218083222,0.95
88,176.9407532530922,5.160188380797194e-21,0.5299587401210534,0.043339873144621,10,0.00642022451392493,0.012023752998234884,0.0101808970715721,-0.00046448704761744577,0.895
89,147.40378869883054,9.085164596192352e-18,0.1349498659097306,0.05467199396490172,14,0.026255307760808554,0.031515861330972054,0.09784907663111399,-0.018524721199332392,0.665
90,6.720654705071566,0.06678479161781084,0.2076548172695028,0.24834480873994516,14,0.024378037689934774,0.03767727929325356,0.08377011377530802,-0.01909581408424665,0.675
91,778.097125431034,1.3335427696991418e-86,0.3675801573787956,0.021732040152492638,12,0.008643330581575803,0.013449008726786,0.022829091616205197,-0.0006905740776592385,0.855
92,1941.2860934396952,4.320206046761798e-213,0.707515616361591,0.012427734097240795,8,0.004345448299737464,0.010715213855093459,0.009755170290481391,0.0027772496144556017,0.95
93,309.4159884085682,1.6218339229992773e-35,0.2919654559935813,0.03544407590994599,14,0.010263855363124696,0.01562380567025011,0.0442484844838076,-0.004610543058002114,0.78
94,34.24310684711191,3.506214288002875e-05,0.21306680810912182,0.10980403789469585,14,0.01794837265898797,0.02574952393852237,0.0760543856846339,-0.01411577943735546,0.705
95,430.37224481325575,1.0149972364557689e-48,0.6214197601723387,0.026985446536260473,9,0.006513144299130557,0.013338594412955485,0.011737039021716847,0.0006527006019889604,0.95
96,30.727072576777168,8.868328009859212e-05,0.5574300345911201,0.10297115492911542,9,0.006756294805189618,0.02502738692661265,0.014304786701549025,-0.001073947598896754,0.915
97,804.3123685279081,1.868803154632545e-89,0.43944368792702115,0.020878475386032793,11,0.0055823453397034085,0.007940088204715683,0.01766447842725766,0.0023370992487462333,0.92
98,2583.0897403900794,7.774000652054698e-283,0.33087407721970696,0.01209449367522334,13,0.009021059593110942,0.012566077731762769,0.0279455196642317,0.0012253514859781552,0.92
99,619.1038182259952,2.7342517528370537e-69,0.4507146444288915,0.023718698479854233,11,0.005443303573540717,0.007995026092870344,0.0159869274700394,0.002251837499565297,0.93
100,479.347775159375,4.6324718163759395e-54,0.3818631745051845,0.027573322371103166,12,0.007277762948946782,0.011294629439088771,0.019189338259903623,-0.0009547020404764607,0.84
101,79.54459098359884,2.853643630006072e-10,0.6957137691635298,0.06160125296053311,8,0.006060301621063818,0.023999267933915828,0.0102226620017294,7.873614337905357e-05,0.95
102,24.473706334661166,0.0004685478432130616,0.1659961020514372,0.1323998232507598,14,0.024023531442958355,0.03152545191475061,0.09413996194307933,-0.018958329303575595,0.695
103,2757.1139640577117,9.595510653251187e-302,0.31171104306848785,0.011784179129026429,13,0.008830932671105738,0.011798546660197534,0.03138924721273463,0.001268441849999793,0.875
104,52.23880108231909,3.20943043399174e-07,0.4938688915683013,0.0805918634468258,10,0.0070198576616311735,0.02052994801187592,0.014231918325277464,-0.0011076052891958526,0.945
105,139.764871709151,6.294646075971902e-17,0.5002567038285399,0.04907197111554885,10,0.00628260883998794,0.011400518296969545,0.010727289538454003,-0.0006028002198972498,0.925
106,16.03895880350173,0.004627687084663266,0.40918115230079843,0.14934874167395418,11,0.010956261344460299,0.03142312706397517,0.02508647523526821,-0.005052669546739731,0.785
107,1535.3930357105244,5.696402325155356e-169,0.2188968276047846,0.01635872520818981,14,0.014452477984609574,0.018006636909652294,0.04216164437375054,-0.004051415036161262,0.685
108,118.33575698781965,1.4477795866427394e-14,0.8483749167206851,0.048543957711000695,7,0.005538488907865839,0.024637045807273345,0.007246435679061678,-0.0003679917867179976,0.95
109,437.1490594928086,1.8506295720354246e-49,0.5297682847890149,0.027529042156977317,10,0.005193144335175113,0.008791978743769933,0.011869307033094557,0.00209286332074715,0.91
110,60.22125852159634,4.0808833543835957e-08,0.8757107963019445,0.06755721729672036,7,0.006033003600050388,0.028992431027264426,0.007398393693835009,-0.0006218898015339004,0.945
111,823.9429012440469,1.364566746836553e-91,0.6680773957366541,0.01924216704643901,8,0.004615511013034284,0.010205028044726871,0.009120246012266275,0.0020830696267363316,0.955
112,3182.1157014881132,0.0,0.8747154082940501,0.009269701462677325,7,0.004375820093982664,0.014410002678621551,0.008983629715959817,0.0017854300241971197,0.94
113,207.05278473302326,2.569483442044577e-24,0.21040430119158177,0.04470252235428755,14,0.01533916471054024,0.0208258389362204,0.07030658149459888,-0.009164020079619625,0.705
114,4752.762348978071,0.0,0.4243861765403757,0.008626217492676665,11,0.0067433745747804315,0.008824413107758809,0.024106281590430014,0.003918710573640376,0.93
115,161.1811787016902,2.7767873733732204e-19,0.4514760985567028,0.04643811173693757,11,0.005607051111482837,0.008204065794877757,0.01170590252708421,-0.0004105840919277924,0.91
116,5157.317840461564,0.0,0.2966974745527177,0.00866584631395159,14,0.008440255703971614,0.009861518548713264,0.03347672749757796,0.0017323571423766874,0.775
117,20.910867912989332,0.0012228918116961006,0.4147749487581131,0.13064277129807336,11,0.010228662958927664,0.028902231735745815,0.022978407421466857,-0.004009629070482253,0.795
118,24.180241927920964,0.0005068968557214414,0.49636625963945863,0.11836454748146716,10,0.007869971412771973,0.026776222445732637,0.01539368617814768,-0.0020743602815146743,0.935
119,1747.767737563514,4.6692446016248075e-192,0.661986004956942,0.013221852896536162,8,0.004432012256810986,0.009890194575544454,0.010835419179637918,0.0033991540080353074,0.94
120,16257.408713228362,0.0,0.5616467071609972,0.004466588289370694,9,0.009644069825610913,0.01499781157918218,0.03048282745454788,0.005096102050002573,0.935
121,203.47166287492462,6.344235366047564e-24,0.3102131410882861,0.04340959024160121,13,0.009901976890416107,0.015494759278330548,0.040961675870980076,-0.004867901070706241,0.845
122,260.02637427991846,4.070643002735899e-30,0.8197804261051135,0.03289890319222926,7,0.005830808049213546,0.020624405964588158,0.007410706422520931,-0.00012461511532628925,0.945
123,4.788806705994603,0.121770201323558,0.17393272315126726,0.2983471049183994,14,0.027529239076494252,0.03732853681895953,0.09986173302102043,-0.022539908265063417,0.66
124,23279.38409079114,0.0,0.5871150715367789,0.0037102323495551617,9,0.01062889341619612,0.01729076398309515,0.03544301791869599,0.005002138727490878,0.93
125,1724.0017707933919,1.788833318174544e-189,0.2661053748454906,0.015157387198370252,14,0.01022793429259725,0.013369548024703398,0.034364944915278174,-0.0006538809854877417,0.76
126,6.4862053050013,0.07172469019934895,0.1946648349369263,0.2541867641521513,14,0.025200220946659916,0.03589276067679295,0.08900638506245427,-0.019920588327693906,0.665
127,7571.113559865309,0.0,0.58254808134258,0.006498967365704229,9,0.007054515390411963,0.01250773551820129,0.020595170973600644,0.005287423979722225,0.925
128,223.61923744391788,3.9332293665053165e-26,0.1597935853932415,0.04391877903774346,14,0.021304622678445254,0.026380216720301677,0.08101052704307099,-0.0137828085271706,0.685
129,79.52776022369915,2.865965772686115e-10,1.05389315075574,0.056607247458592407,6,0.0053986194044807045,0.0297054775022578,0.0069117078421748876,-0.0008342695281492769,0.955
130,1753.628975861344,1.0768257128597493e-192,0.22428948668776802,0.015273954368485469,14,0.013823384096383791,0.01722718856813507,0.0407542827822865,-0.003554534787689212,0.68
131,123.25516247238028,4.149650269429516e-15,0.2999633133268445,0.05597029831359861,14,0.010127103942484441,0.015698345947095172,0.04097688307693121,-0.006236227573653302,0.815
132,14.431828651395852,0.0072259996189736435,0.11674431158440082,0.17612805686184246,14,0.03208576796510383,0.03848107388287986,0.11903545364925476,-0.024417890378371245,0.65
133,174.85521547379787,8.742167233682607e-21,0.3246872841356633,0.04658307982558057,13,0.009143013111622755,0.014457691891297695,0.03478061456152505,-0.00453019451918046,0.85
134,1530.5100205943604,1.9340031911127463e-168,0.6954119699157596,0.013996185574575612,8,0.004517721593548655,0.011457474767231843,0.010650055953985955,0.0028878831953791317,0.955
135,32.90217151949665,4.992158216205994e-05,0.16153008999939736,0.1144081179806561,14,0.024510195611738145,0.03160988327129962,0.09443512115155157,-0.01864123328829506,0.695
136,1324.564606927509,4.764203027202096e-146,0.4732763955079847,0.016084215307669545,10,0.005637484899001437,0.008201882351394345,0.01842832023400337,0.003506172398750394,0.935
137,1538.4937614619366,2.6212393583057228e-169,0.8482297017893272,0.013428170514505936,7,0.005055636069939362,0.014064757677749668,0.008375743923534016,0.0006881545154179486,0.945
138,1881.2820191997073,1.4360437348162663e-206,0.19344720371947718,0.014930403892395163,14,0.01807278663267766,0.022022133747115966,0.049071121021061176,-0.007439115723215566,0.645
139,124.81029261247903,2.7959165612405655e-15,0.4433566582590399,0.05292500806246833,11,0.0062878991713263156,0.009475422956465302,0.012969168908964952,-0.0013287603577939683,0.915
140,200.5344406222769,1.331625136904061e-23,0.6895366616886839,0.03877350110816679,8,0.00617463191025262,0.018523906162999836,0.007692089066334982,0.0001821004905036573,0.935
141,314.7502084698899,4.2382373688464466e-36,0.363854128780877,0.03423446601724218,12,0.008119172870541286,0.01301862972281362,0.02430694918080608,-0.002279898897478485,0.845
142,7779.50113810593,0.0,0.6911296476669461,0.00623322363580123,8,0.005407086977997408,0.011685710170846972,0.015855824788476507,0.003972003879600839,0.95
143,9102.69119523956,0.0,0.40401426460653506,0.00627609447217283,11,0.009171905161174854,0.012027144190779946,0.033591542970635185,0.0026440250995650007,0.84
144,52.264548746777535,3.188103418237915e-07,0.5962010715152634,0.07804979460599366,9,0.006468933284252231,0.023892436120903224,0.012137004132484192,2.1810359284540683e-05,0.945
